MAL_ID,Name,Score,Genres,Type,Premiered,Studios,Rating,Popularity
1,Cowboy Bebop,8.78,"Action, Adventure, Comedy, Drama, Sci-Fi, Space",TV,Spring 1998,Sunrise,R - 17+ (violence & profanity),39
5,Cowboy Bebop: Tengoku no Tobira,8.39,"Action, Drama, Mystery, Sci-Fi, Space",Movie,Unknown,Bones,R - 17+ (violence & profanity),518
6,Trigun,8.24,"Action, Sci-Fi, Adventure, Comedy, Drama, Shounen",TV,Spring 1998,Madhouse,PG-13 - Teens 13 or older,201
7,Witch Hunter Robin,7.27,"Action, Mystery, Police, Supernatural, Drama, Magic",TV,Summer 2002,Sunrise,PG-13 - Teens 13 or older,1467
8,Bouken Ou Beet,6.98,"Adventure, Fantasy, Shounen, Supernatural",TV,Fall 2004,Toei Animation,PG - Children,4369
15,Eyeshield 21,7.95,"Action, Sports, Comedy, Shounen",TV,Spring 2005,Gallop,PG-13 - Teens 13 or older,1003
16,Hachimitsu to Clover,8.06,"Comedy, Drama, Josei, Romance, Slice of Life",TV,Spring 2005,J.C.Staff,PG-13 - Teens 13 or older,687
17,Hungry Heart: Wild Striker,7.59,"Slice of Life, Comedy, Sports, Shounen",TV,Fall 2002,Nippon Animation,PG-13 - Teens 13 or older,3612
18,Initial D Fourth Stage,8.15,"Action, Cars, Sports, Drama, Seinen",TV,Spring 2004,A.C.G.T.,PG-13 - Teens 13 or older,1233
19,Monster,8.76,"Drama, Horror, Mystery, Police, Psychological, Seinen, Thriller",TV,Spring 2004,Madhouse,R+ - Mild Nudity,169
20,Naruto,7.91,"Action, Adventure, Comedy, Super Power, Martial Arts, Shounen",TV,Fall 2002,Studio Pierrot,PG-13 - Teens 13 or older,8
21,One Piece,8.52,"Action, Adventure, Comedy, Super Power, Drama, Fantasy, Shounen",TV,Fall 1999,Toei Animation,PG-13 - Teens 13 or older,31
22,Tennis no Ouji-sama,7.9,"Action, Comedy, Sports, School, Shounen",TV,Fall 2001,Trans Arts,PG-13 - Teens 13 or older,1039
23,Ring ni Kakero 1,6.38,"Action, Shounen, Sports",TV,Fall 2004,Toei Animation,PG - Children,7333
24,School Rumble,7.94,"Comedy, Romance, School, Shounen",TV,Fall 2004,Studio Comet,PG-13 - Teens 13 or older,514
25,Sunabouzu,7.42,"Action, Adventure, Comedy, Ecchi, Sci-Fi, Shounen",TV,Fall 2004,Gonzo,R - 17+ (violence & profanity),1284
26,Texhnolyze,7.76,"Action, Sci-Fi, Psychological, Drama",TV,Spring 2003,Madhouse,R+ - Mild Nudity,823
27,Trinity Blood,7.32,"Action, Supernatural, Vampire",TV,Spring 2005,Gonzo,R - 17+ (violence & profanity),936
28,Yakitate!! Japan,7.95,"Comedy, Shounen",TV,Fall 2004,Sunrise,PG-13 - Teens 13 or older,1666
29,Zipang,7.51,"Action, Military, Sci-Fi, Historical, Drama, Seinen",TV,Fall 2004,Studio Deen,PG-13 - Teens 13 or older,3985
30,Neon Genesis Evangelion,8.32,"Action, Sci-Fi, Dementia, Psychological, Drama, Mecha",TV,Fall 1995,"Gainax, Tatsunoko Production",PG-13 - Teens 13 or older,54
31,Neon Genesis Evangelion: Death & Rebirth,7.45,"Drama, Mecha, Psychological, Sci-Fi",Movie,Unknown,"Gainax, Production I.G",R - 17+ (violence & profanity),833
32,Neon Genesis Evangelion: The End of Evangelion,8.51,"Sci-Fi, Dementia, Psychological, Drama, Mecha",Movie,Unknown,"Gainax, Production I.G",R+ - Mild Nudity,195
33,Kenpuu Denki Berserk,8.49,"Action, Adventure, Demons, Drama, Fantasy, Horror, Military, Romance, Seinen, Supernatural",TV,Fall 1997,OLM,R+ - Mild Nudity,301
43,Koukaku Kidoutai,8.29,"Action, Mecha, Police, Psychological, Sci-Fi, Seinen",Movie,Unknown,Production I.G,R+ - Mild Nudity,265
44,Rurouni Kenshin: Meiji Kenkaku Romantan - Tsuioku-hen,8.73,"Action, Historical, Drama, Romance, Martial Arts, Samurai, Shounen",OVA,Unknown,Studio Deen,R - 17+ (violence & profanity),637
45,Rurouni Kenshin: Meiji Kenkaku Romantan,8.31,"Action, Adventure, Comedy, Historical, Romance, Samurai, Shounen",TV,Winter 1996,"Gallop, Studio Deen",PG-13 - Teens 13 or older,345
